FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
382,840,126.5323087,45.64231628,7,18.16158725,0.416385521,836.27081,0.39634315000000003
383,841,126.5373719,45.64173513,7,18.16158725,0.431791918,1240.795418,0.42206639000000024
384,842,126.5331371,45.64586779,7,18.16158725,0.431791918,754.4852728,0.42123621000000033
385,843,126.5466686,45.63702072,7,18.16158725,0.431791918,403.690222,0.42518726000000023
386,845,126.5365432,45.63818365,7,18.16158725,0.431791918,528.2149732,0.42525574000000027
387,846,126.5525607,45.63999031,7,18.16158725,0.431791918,440.518362,0.4219979100000002
388,848,126.5533903,45.6435417,7,18.16158725,0.431791918,402.1333938,0.4219979100000002
389,849,126.5474978,45.64057214,7,18.16158725,0.431791918,1355.185821,0.4219979100000002
390,850,126.5584534,45.64295961,7,18.16158725,0.431791918,842.3845963,0.4219979100000002
391,852,126.5491566,45.64767497,7,18.16158725,0.431791918,1039.774149,0.4211677300000003
392,853,126.5483272,45.64412356,7,18.16158725,0.431791918,739.6084262,0.4219979100000002
393,854,126.5558799,45.65419583,7,18.16158725,0.431791918,832.7243767,0.42182272000000026
394,855,126.5567099,45.65774719,7,18.16158725,0.431791918,1061.71388,0.42182272000000026
395,856,126.5339656,45.64941929,7,18.16158725,0.431791918,888.4317962,0.4218912000000003
396,857,126.5398583,45.65238955,7,18.16158725,0.431791918,849.850339,0.4218912000000003
397,858,126.5347942,45.65297079,7,18.16158725,0.431791918,1307.186831,0.4218912000000003
398,859,126.5406873,45.65594101,7,18.16158725,0.431791918,1056.643951,0.4218912000000003
399,860,126.5356229,45.65652228,7,18.16158725,0.431791918,1105.810299,0.4218912000000003
400,861,126.5305584,45.65710333,7,18.16158725,0.431791918,418.9102158,0.4218912000000003
401,862,126.5440931,45.64825664,7,18.16158725,0.431791918,1083.554033,0.42123621000000033
402,863,126.5499862,45.65122638,7,18.16158725,0.431791918,924.5172483,0.42182272000000026
403,864,126.5390294,45.64883808,7,18.16158725,0.431791918,844.7319193,0.4218912000000003
404,865,126.5449223,45.65180808,7,18.16158725,0.431791918,608.4505709,0.4218912000000003
405,866,126.5508158,45.65477778,7,18.16158725,0.431791918,642.4347435,0.42182272000000026
